# https://www.aanda.org/articles/aa/full_html/2018/07/aa32547-17/T2.html
ID	Galaxy	log_L	LMR_disk	LMR_bulge	D	D_D0	Inc	i_i0	chi2
038	NGC2683	10.91	0.55 ± 0.06	0.73 ± 0.18	9.44 ± 0.46	0.96	77.0 ± 5.2	0.96	3.370
039	NGC4013	10.90	0.35 ± 0.05	0.79 ± 0.17	18.1 ± 1.0	1.01	89.0 ± 0.8	1.00	1.807
040	NGC7814	10.87	1.17 ± 0.12	0.52 ± 0.04	15.8 ± 0.6	1.10	90.0 ± 0.6	1.00	1.334
041	UGC06786	10.87	0.27 ± 0.02	0.34 ± 0.01	57.2 ± 2.6	1.95	67.7 ± 2.6	1.06	1.389
042	NGC3877	10.86	0.40 ± 0.07	0	16.8 ± 1.7	0.93	76.0 ± 1.0	1.00	10.221
043	NGC0289	10.86	0.92 ± 0.09	0	14.8 ± 2.9	0.71	42.9 ± 4.7	0.93	2.132
044	NGC1090	10.86	0.74 ± 0.07	0	24.3 ± 1.8	0.66	63.5 ± 3.0	0.99	2.778
045	NGC3726	10.85	0.47 ± 0.07	0	13.8 ± 1.3	0.77	52.0 ± 2.0	0.98	2.982
046	UGC09037	10.84	0.20 ± 0.02	0	80.2 ± 5.9	0.96	63.3 ± 4.1	0.97	2.259
047	NGC6946	10.82	0.64 ± 0.05	0.71 ± 0.04	4.18 ± 0.44	0.76	37.7 ± 2.0	0.99	1.525
048	NGC4100	10.77	0.76 ± 0.10	0	15.0 ± 1.2	0.83	72.7 ± 2.0	1.00	1.658
049	NGC3893	10.77	0.45 ± 0.06	0	19.4 ± 1.7	1.08	49.5 ± 1.9	1.01	0.997
050	UGC06973	10.73	0.17 ± 0.02	0.39 ± 0.07	23.0 ± 1.6	1.28	72.7 ± 2.8	1.02	15.579
051	ESO079-G014	10.71	0.50 ± 0.09	0	31.6 ± 3.0	1.10	79.4 ± 4.7	1.00	4.334
052	UGC08699	10.70	0.63 ± 0.10	0.70 ± 0.05	40.4 ± 4.4	1.03	73.2 ± 7.5	1.00	0.989
053	NGC4138	10.64	0.55 ± 0.11	0.69 ± 0.17	17.9 ± 1.8	0.99	53.0 ± 2.8	1.00	2.492
054	NGC3198	10.58	0.77 ± 0.03	0	10.4 ± 0.4	0.75	71.1 ± 3.1	0.97	2.057
055	NGC3949	10.58	0.44 ± 0.07	0	17.3 ± 1.9	0.96	54.8 ± 2.0	1.00	0.547
056	NGC6015	10.51	1.12 ± 0.06	0	11.8 ± 0.6	0.69	59.8 ± 2.0	1.00	10.873
057	NGC3917	10.34	0.55 ± 0.09	0	16.9 ± 1.5	0.94	78.9 ± 2.0	1.00	4.603
058	NGC4085	10.34	0.35 ± 0.06	0	16.8 ± 1.8	0.93	81.9 ± 2.0	1.00	9.088
059	NGC4389	10.33	0.30 ± 0.07	0	11.6 ± 2.2	0.64	42.8 ± 4.1	0.86	9.313
060	NGC4559	10.29	0.52 ± 0.06	0	6.66 ± 0.36	0.74	67.0 ± 1.0	1.00	0.496
061	NGC3769	10.27	0.41 ± 0.07	0	16.2 ± 1.3	0.90	69.8 ± 2.0	1.00	0.949
062	NGC4010	10.24	0.36 ± 0.07	0	18.2 ± 1.5	1.01	89.0 ± 0.8	1.00	2.741
063	NGC3972	10.16	0.50 ± 0.08	0	19.2 ± 1.7	1.07	77.0 ± 1.0	1.00	2.074
064	UGC03580	10.12	0.29 ± 0.02	0.11 ± 0.01	22.4 ± 1.6	1.08	63.4 ± 3.8	1.01	2.291
065	NGC6503	10.11	0.45 ± 0.02	0	6.47 ± 0.16	1.03	74.6 ± 1.8	1.01	2.979
066	UGC11557	10.08	0.42 ± 0.11	0	22.5 ± 6.2	0.93	19.6 ± 4.0	0.65	3.175
067	UGC00128	10.08	2.49 ± 0.12	0	58.1 ± 9.3	0.90	40.7 ± 4.3	0.71	6.254
068	F579-V1	10.07	0.63 ± 0.14	0	89.6 ± 8.9	1.00	26.3 ± 2.2	1.01	2.559
069	NGC4183	10.03	0.79 ± 0.14	0	13.0 ± 0.9	0.72	81.8 ± 2.0	1.00	1.132
070	F571-8	10.01	0.11 ± 0.02	0	102 ± 8	1.92	87.1 ± 2.9	1.02	41.610
071	NGC2403	10.00	0.51 ± 0.01	0	3.33 ± 0.11	1.05	66.1 ± 2.1	1.05	14.142
072	UGC06930	9.95	0.63 ± 0.13	0	17.3 ± 2.3	0.96	28.8 ± 2.5	0.90	1.233
073	F568-3	9.92	0.41 ± 0.09	0	82.1 ± 8.1	1.00	38.3 ± 3.2	0.96	3.064
074	UGC01230	9.88	0.72 ± 0.17	0	53.1 ± 10.6	0.99	18.4 ± 2.4	0.84	2.951
075	NGC0247	9.87	0.78 ± 0.08	0	3.23 ± 0.16	0.87	68.9 ± 3.1	0.93	3.060
076	NGC7793	9.85	0.55 ± 0.09	0	3.60 ± 0.18	1.00	43.3 ± 2.9	0.92	1.013
077	UGC06917	9.83	0.54 ± 0.09	0	18.4 ± 1.5	1.02	56.1 ± 1.9	1.00	1.315
078	NGC1003	9.83	0.37 ± 0.03	0	10.8 ± 0.9	0.94	66.9 ± 4.9	1.00	4.669
079	F574-1	9.82	0.71 ± 0.13	0	95.7 ± 8.7	0.99	62.6 ± 6.6	0.96	2.501
080	F568-1	9.80	0.61 ± 0.13	0	95.2 ± 8.8	1.05	32.4 ± 2.2	1.24	1.287
081	UGC06983	9.72	0.77 ± 0.11	0	17.3 ± 1.2	0.96	49.0 ± 1.0	1.00	1.392
082	UGC05986	9.67	0.31 ± 0.04	0	14.6 ± 0.8	1.69	90.0 ± 1.8	1.00	3.997
083	NGC0055	9.67	0.19 ± 0.03	0	1.74 ± 0.07	0.82	71.3 ± 3.2	0.93	1.579
084	ESO116-G012	9.63	0.35 ± 0.04	0	17.9 ± 0.9	1.38	74.5 ± 2.9	1.01	2.444
085	UGC07323	9.61	0.41 ± 0.09	0	6.87 ± 0.96	0.86	46.5 ± 3.0	0.99	0.660
086	UGC05005	9.61	0.45 ± 0.10	0	50.8 ± 10.1	0.95	34.6 ± 4.8	0.84	0.315
087	F561-1	9.61	0.52 ± 0.13	0	65.2 ± 10.1	0.98	13.5 ± 1.4	0.56	1.564
088	NGC0024	9.59	1.01 ± 0.11	0	7.55 ± 0.32	1.03	66.1 ± 2.6	1.03	0.850
089	F568-V1	9.58	0.81 ± 0.16	0	83.7 ± 7.4	1.04	51.1 ± 4.4	1.28	1.042
090	UGC06628	9.57	0.52 ± 0.13	0	14.4 ± 4.7	0.95	10.6 ± 2.9	0.53	0.851
091	UGC02455	9.56	0.33 ± 0.09	0	2.01 ± 0.50	0.29	49.3 ± 5.3	0.97	6.549
092	UGC07089	9.55	0.36 ± 0.08	0	13.3 ± 1.2	0.74	79.4 ± 3.1	0.99	0.426
093	UGC05999	9.53	0.48 ± 0.11	0	47.2 ± 9.3	0.99	19.6 ± 2.4	0.89	5.693
094	NGC2976	9.53	0.35 ± 0.08	0	3.58 ± 0.18	1.00	62.5 ± 6.4	1.02	1.730
095	UGC05750	9.52	0.48 ± 0.11	0	47.5 ± 9.6	0.81	53.9 ± 8.7	0.84	1.352
096	NGC0100	9.51	0.28 ± 0.06	0	15.9 ± 1.5	1.18	89.0 ± 0.8	1.00	1.286
097	UGC00634	9.48	0.49 ± 0.09	0	31.3 ± 6.2	1.01	37.4 ± 4.7	1.01	2.425
098	F563-V2	9.48	0.59 ± 0.14	0	63.4 ± 10.5	1.06	36.8 ± 4.3	1.27	0.991
099	NGC5585	9.47	0.22 ± 0.01	0	7.81 ± 0.46	1.11	51.2 ± 1.9	1.00	6.817
100	NGC0300	9.47	0.40 ± 0.05	0	2.09 ± 0.10	1.00	47.4 ± 2.1	1.13	0.906
101	UGC06923	9.46	0.42 ± 0.09	0	16.5 ± 1.5	0.92	64.7 ± 2.0	1.00	1.624
102	F574-2	9.46	0.49 ± 0.12	0	88.1 ± 9.0	0.99	13.1 ± 1.8	0.44	0.092
103	UGC07125	9.43	0.92 ± 0.15	0	7.45 ± 0.40	0.38	89.9 ± 1.8	1.00	1.599
104	UGC07524	9.39	0.79 ± 0.12	0	4.50 ± 0.23	0.95	38.8 ± 1.6	0.84	1.839
105	UGC06399	9.36	0.53 ± 0.10	0	19.0 ± 1.5	1.05	75.1 ± 2.0	1.00	0.520
106	UGC07151	9.36	0.50 ± 0.05	0	6.35 ± 0.28	0.92	90.0 ± 2.0	1.00	3.751
107	F567-2	9.33	0.56 ± 0.13	0	78.2 ± 11.8	0.99	14.5 ± 1.7	0.73	2.204
108	UGC04325	9.31	0.94 ± 0.19	0	10.2 ± 1.4	1.07	41.3 ± 2.7	1.01	9.429
109	UGC00191	9.30	1.10 ± 0.13	0	12.5 ± 2.5	0.73	43.0 ± 4.7	0.96	3.842
110	F563-1	9.28	0.56 ± 0.12	0	51.7 ± 8.2	1.06	27.4 ± 2.5	1.10	1.499
111	F571-V1	9.27	0.50 ± 0.12	0	80.0 ± 8.0	1.00	27.8 ± 2.0	0.93	0.288
112	UGC07261	9.24	0.56 ± 0.12	0	12.8 ± 3.4	0.98	29.0 ± 5.0	0.97	0.827
113	UGC10310	9.24	0.62 ± 0.14	0	13.4 ± 3.3	0.88	31.7 ± 4.4	0.93	1.762
114	UGC02259	9.24	1.14 ± 0.19	0	10.0 ± 1.3	0.95	40.9 ± 2.8	1.00	7.221
115	F583-4	9.23	0.48 ± 0.11	0	50.3 ± 8.8	0.94	51.2 ± 7.0	0.93	0.134
116	UGC12732	9.22	1.07 ± 0.14	0	11.4 ± 2.6	0.86	36.8 ± 4.7	0.94	0.496
117	UGC06818	9.20	0.29 ± 0.06	0	14.8 ± 1.6	0.82	74.3 ± 3.1	0.99	5.387
118	UGC04499	9.19	0.51 ± 0.10	0	9.85 ± 1.06	0.79	49.5 ± 3.0	0.99	1.776
119	F563-V1	9.19	0.48 ± 0.12	0	39.3 ± 13.6	0.73	29.4 ± 10.0	0.49	0.875
120	UGC06667	9.15	1.00 ± 0.20	0	23.8 ± 1.3	1.32	89.0 ± 0.8	1.00	5.357
121	UGC02023	9.12	0.49 ± 0.12	0	10.0 ± 3.1	0.96	14.3 ± 3.4	0.75	1.147
122	UGC04278	9.12	0.53 ± 0.07	0	10.3 ± 0.7	1.08	89.9 ± 1.8	1.00	2.597
123	UGC12632	9.11	1.08 ± 0.19	0	6.72 ± 0.84	0.69	45.2 ± 3.0	0.98	1.803
124	UGC08286	9.10	1.05 ± 0.07	0	6.45 ± 0.18	0.99	90.0 ± 1.8	1.00	2.637
125	UGC07399	9.06	0.59 ± 0.10	0	15.2 ± 1.2	1.81	58.1 ± 2.6	1.06	1.895
126	NGC4214	9.06	0.46 ± 0.11	0	2.87 ± 0.14	1.00	18.5 ± 1.2	1.23	1.062
127	UGC05414	9.05	0.41 ± 0.09	0	7.45 ± 0.82	0.79	54.6 ± 3.0	0.99	1.299
128	UGC08490	9.01	0.86 ± 0.11	0	4.81 ± 0.35	1.03	50.7 ± 2.4	1.01	0.337
129	IC2574	9.01	0.07 ± 0.00	0	3.78 ± 0.19	0.97	64.5 ± 3.4	0.86	1.440
130	UGC06446	8.99	1.04 ± 0.17	0	11.7 ± 1.2	0.97	50.9 ± 2.9	1.00	0.996
131	F583-1	8.99	0.91 ± 0.14	0	31.9 ± 3.5	0.90	62.3 ± 4.9	0.99	2.663
132	UGC11820	8.99	1.01 ± 0.11	0	15.5 ± 4.2	0.85	38.7 ± 6.7	0.86	1.988
133	UGC07690	8.93	0.60 ± 0.13	0	6.90 ± 1.44	0.85	39.4 ± 4.4	0.96	1.525
134	UGC04305	8.87	0.71 ± 0.16	0	3.44 ± 0.17	1.00	18.3 ± 0.9	0.46	2.024
135	NGC2915	8.81	0.32 ± 0.05	0	4.68 ± 0.17	1.15	70.3 ± 2.7	1.26	4.017
136	UGC05716	8.77	1.41 ± 0.07	0	18.6 ± 4.0	0.87	48.6 ± 7.2	0.90	5.664
137	UGC05829	8.75	0.60 ± 0.14	0	8.03 ± 2.28	0.93	29.4 ± 5.5	0.86	0.454
138	F565-V2	8.75	0.50 ± 0.12	0	56.7 ± 6.9	1.09	64.2 ± 7.2	1.07	0.474
139	DDO161	8.74	0.23 ± 0.04	0	4.84 ± 0.97	0.65	66.3 ± 9.8	0.95	1.468
140	DDO170	8.73	0.79 ± 0.15	0	9.48 ± 1.47	0.62	63.8 ± 7.3	0.97	4.917
141	NGC1705	8.73	1.22 ± 0.13	0	6.23 ± 0.26	1.09	86.9 ± 3.8	1.09	0.373
142	UGC05721	8.73	0.62 ± 0.08	0	8.66 ± 0.75	1.40	63.7 ± 4.3	1.04	1.824
143	UGC08837	8.70	0.20 ± 0.03	0	6.39 ± 0.38	0.89	58.4 ± 4.2	0.73	2.349
144	UGC07603	8.58	0.34 ± 0.06	0	6.55 ± 0.42	1.39	78.4 ± 3.0	1.01	1.772
145	UGC00891	8.57	0.32 ± 0.07	0	9.24 ± 0.99	0.91	59.5 ± 4.8	0.99	25.160
146	UGC01281	8.55	0.39 ± 0.06	0	5.27 ± 0.20	1.00	90.0 ± 0.6	1.00	0.244
147	UGC09992	8.53	0.51 ± 0.13	0	9.62 ± 3.11	0.90	20.9 ± 5.1	0.70	1.076
148	D512-2	8.51	0.48 ± 0.12	0	12.7 ± 3.1	0.83	51.7 ± 8.5	0.92	0.370
149	UGC00731	8.51	2.39 ± 0.45	0	9.45 ± 0.79	0.76	56.6 ± 3.0	0.99	6.415
150	UGC08550	8.46	0.74 ± 0.11	0	6.32 ± 0.32	0.94	90.0 ± 1.8	1.00	1.552
151	UGC07608	8.42	0.48 ± 0.12	0	8.57 ± 2.12	1.04	27.9 ± 4.5	1.12	0.734
152	NGC2366	8.37	0.24 ± 0.03	0	3.09 ± 0.16	0.95	54.9 ± 2.3	0.81	1.934
153	NGC4068	8.37	0.38 ± 0.09	0	4.30 ± 0.22	0.98	31.7 ± 1.9	0.72	2.519
154	UGC05918	8.37	0.54 ± 0.13	0	6.63 ± 1.22	0.87	44.8 ± 4.5	0.97	0.936
155	D631-7	8.29	0.20 ± 0.04	0	7.53 ± 0.18	0.98	45.9 ± 1.1	0.78	15.872
156	NGC3109	8.29	0.21 ± 0.04	0	1.43 ± 0.05	1.07	76.0 ± 3.5	1.09	4.133
157	UGCA281	8.29	0.37 ± 0.06	0	5.45 ± 0.26	0.96	64.5 ± 2.8	0.96	0.469
158	DDO168	8.28	0.46 ± 0.11	0	4.12 ± 0.21	0.97	50.3 ± 2.1	0.80	19.714
159	DDO064	8.20	0.48 ± 0.11	0	6.21 ± 0.83	0.91	59.6 ± 4.8	0.99	0.334
160	PGC51017	8.19	0.44 ± 0.10	0	3.19 ± 0.37	0.23	63.4 ± 3.3	0.96	4.567
161	UGCA442	8.15	0.44 ± 0.10	0	4.35 ± 0.20	1.00	64.1 ± 3.2	1.00	7.650
162	UGC07866	8.09	0.45 ± 0.11	0	4.48 ± 0.23	0.98	34.5 ± 2.4	0.79	0.260
163	UGC07232	8.05	0.46 ± 0.09	0	2.83 ± 0.16	1.00	59.1 ± 4.2	1.00	6.169
164	UGC07559	8.04	0.31 ± 0.06	0	4.43 ± 0.24	0.89	51.4 ± 2.6	0.84	2.602
165	NGC6789	8.00	0.60 ± 0.14	0	3.60 ± 0.17	1.02	53.9 ± 4.9	1.25	5.904
166	KK98-251	7.93	0.44 ± 0.10	0	3.35 ± 0.47	0.49	57.4 ± 5.2	0.97	1.227
167	UGC05764	7.93	3.83 ± 0.50	0	7.14 ± 1.32	0.96	59.3 ± 8.3	0.99	16.177
168	CamB	7.88	0.34 ± 0.08	0	2.83 ± 0.30	0.84	26.9 ± 2.3	0.41	5.758
169	ESO444-G084	7.85	0.42 ± 0.09	0	5.08 ± 0.43	1.05	40.1 ± 2.2	1.25	3.253
170	DDO154	7.72	0.19 ± 0.03	0	3.87 ± 0.16	0.96	61.2 ± 2.1	0.96	3.482
171	UGC07577	7.65	0.24 ± 0.05	0	2.14 ± 0.14	0.83	45.5 ± 2.7	0.72	5.794
172	D564-8	7.52	0.40 ± 0.09	0	8.69 ± 0.28	0.99	42.5 ± 2.4	0.67	3.160
173	NGC3741	7.45	0.31 ± 0.05	0	3.35 ± 0.12	1.04	72.8 ± 3.1	1.04	0.767
174	UGC04483	7.11	0.43 ± 0.10	0	2.55 ± 0.22	0.76	53.0 ± 2.9	0.91	0.869
175	UGCA444	7.08	0.49 ± 0.12	0	0.84 ± 0.04	0.86	67.2 ± 4.0	0.86	0.330
